
Time,PID,Tickets,Pass,Stride,Runtime
83508,14,32,377369,32,11580
83508,15,32,377357,32,5112
83508,16,32,377360,32,5112
83508,17,8,377395,128,1279
83508,18,2,377654,512,321
83508,19,8,377401,128,1279
83508,20,8,377404,128,1279
87760,1,8,1792,128,14
87760,2,8,4224,128,19
87760,5,1,393820,1024,379
87760,4,8,392960,128,3037
87760,6,2,393320,512,756
87760,7,4,393077,256,1510
87760,8,8,392835,128,3017
87760,9,16,392849,64,6033
87760,10,32,392861,32,12065
87760,11,32,392838,32,12064
87760,12,32,392846,32,12064
87760,13,32,392852,32,12064
87760,14,32,392857,32,12064
87760,15,32,392845,32,5596
87760,16,32,392848,32,5596
87760,17,8,392883,128,1400
87760,18,2,393014,512,351
87760,19,8,392889,128,1400
87760,20,8,392892,128,1400
92079,1,8,1792,128,14
92079,2,8,4224,128,19
92079,5,1,409180,1024,394
92079,4,8,408704,128,3160
92079,6,2,408680,512,786
92079,7,4,408693,256,1571
92079,8,8,408579,128,3140
92079,9,16,408593,64,6279
92079,10,32,408605,32,12557
92079,11,32,408582,32,12556
92079,12,32,408590,32,12556
92079,13,32,408596,32,12556
92079,14,32,408601,32,12556
92079,15,32,408589,32,6088
92079,16,32,408592,32,6088
92079,17,8,408627,128,1523
92079,18,2,408886,512,382
92079,19,8,408633,128,1523
92079,20,8,408636,128,1523
96400,1,8,1792,128,14
96400,2,8,4224,128,19
96400,5,1,424540,1024,409
96400,4,8,424448,128,3283
96400,6,2,424552,512,817
96400,7,4,424565,256,1633
96400,8,8,424323,128,3263
96400,9,16,424337,64,6525
96400,10,32,424349,32,13049
96400,11,32,424326,32,13048
96400,12,32,424334,32,13048
96400,13,32,424340,32,13048
96400,14,32,424345,32,13048
96400,15,32,424333,32,6580
96400,16,32,424336,32,6580
96400,17,8,424371,128,1646
96400,18,2,424758,512,413
96400,19,8,424377,128,1646
96400,20,8,424380,128,1646
100720,1,8,1792,128,14
100720,2,8,4224,128,19
100720,5,1,440924,1024,425
100720,4,8,440192,128,3406
100720,6,2,440424,512,848
100720,7,4,440181,256,1694
100720,8,8,440067,128,3386
100720,9,16,440081,64,6771
