Time,PID,Tickets,Pass,Stride,Runtime
44712,4,8,215296,128,1648
44712,6,2,215192,512,408
44712,7,4,215205,256,815
44712,8,8,215219,128,1629
44712,9,16,215169,64,3256
44712,10,32,215181,32,6511
44712,11,32,215190,32,6511
44712,12,32,215198,32,6511
44712,13,32,215172,32,6510
44712,14,32,215177,32,6510
44712,15,32,215185,32,2077
44712,16,32,215188,32,2077
44712,17,8,215191,128,520
44712,18,2,215322,512,131
44712,19,8,215197,128,520
44712,20,8,215200,128,520
47558,1,8,1792,128,14
47558,2,8,4224,128,19
47558,5,1,225932,1024,215
47558,4,8,225664,128,1729
47558,6,2,225944,512,429
47558,7,4,225701,256,856
47558,8,8,225587,128,1710
47558,9,16,225537,64,3418
47558,10,32,225549,32,6835
47558,11,32,225558,32,6835
47558,12,32,225566,32,6835
47558,13,32,225540,32,6834
47558,14,32,225545,32,6834
47558,15,32,225553,32,2401
47558,16,32,225556,32,2401
47558,17,8,225559,128,601
47558,18,2,225562,512,151
47558,19,8,225565,128,601
47558,20,8,225568,128,601
50298,1,8,1792,128,14
50298,2,8,4224,128,19
50298,5,1,236172,1024,225
50298,4,8,235648,128,1807
50298,6,2,235672,512,448
50298,7,4,235685,256,895
50298,8,8,235571,128,1788
50298,9,16,235521,64,3574
50298,10,32,235533,32,7147
50298,11,32,235542,32,7147
50298,12,32,235550,32,7147
50298,13,32,235524,32,7146
50298,14,32,235529,32,7146
50298,15,32,235537,32,2713
50298,16,32,235540,32,2713
50298,17,8,235543,128,679
50298,18,2,235802,512,171
50298,19,8,235549,128,679
50298,20,8,235552,128,679
53142,1,8,1792,128,14
53142,2,8,4224,128,19
53142,5,1,246412,1024,235
53142,4,8,246016,128,1888
53142,6,2,245912,512,468
53142,7,4,245925,256,935
53142,8,8,245939,128,1869
53142,9,16,245889,64,3736
53142,10,32,245901,32,7471
53142,11,32,245910,32,7471
53142,12,32,245918,32,7471
53142,13,32,245892,32,7470
53142,14,32,245897,32,7470
53142,15,32,245905,32,3037
53142,16,32,245908,32,3037
53142,17,8,245911,128,760
53142,18,2,246042,512,191
53142,19,8,245917,128,760
53142,20,8,245920,128,760
55988,1,8,1792,128,14
55988,2,8,4224,128,19
55988,5,1,256652,1024,245
55988,4,8,256384,128,1969
55988,6,2,256664,512,489
55988,7,4,256421,256,976
55988,8,8,256307,128,1950
55988,9,16,256257,64,3898
55988,10,32,256269,32,7795
55988,11,32,256278,32,7795
55988,12,32,256286,32,7795
55988,13,32,256260,32,7794
55988,14,32,256265,32,7794
55988,15,32,256273,32,3361
55988,16,32,256276,32,3361
55988,17,8,256279,128,841
55988,18,2,256282,512,211
55988,19,8,256285,128,841
55988,20,8,256288,128,841
58833,1,8,1792,128,14
58833,2,8,4224,128,19
58833,5,1,266892,1024,255
58833,4,8,266752,128,2050
58833,6,2,266904,512,509
58833,7,4,266661,256,1016
58833,8,8,266675,128,2031
58833,9,16,266625,64,4060
58833,10,32,266637,32,8119
58833,11,32,266646,32,8119
58833,12,32,266654,32,8119
58833,13,32,266628,32,8118
58833,14,32,266633,32,8118
58833,15,32,266641,32,3685
58833,16,32,266644,32,3685
58833,17,8,266647,128,922
58833,18,2,267034,512,232
58833,19,8,266653,128,922
58833,20,8,266656,128,922
61678,1,8,1792,128,14
61678,2,8,4224,128,19
61678,5,1,277132,1024,265
61678,4,8,277120,128,2131
61678,6,2,277144,512,529
61678,7,4,277157,256,1057
61678,8,8,277043,128,2112
61678,9,16,276993,64,4222
61678,10,32,277005,32,8443
61678,11,32,277014,32,8443
61678,12,32,277022,32,8443
61678,13,32,276996,32,8442
61678,14,32,277001,32,8442
61678,15,32,277009,32,4009
61678,16,32,277012,32,4009
61678,17,8,277015,128,1003
61678,18,2,277274,512,252
61678,19,8,277021,128,1003
61678,20,8,277024,128,1003
64522,1,8,1792,128,14
64522,2,8,4224,128,19
64522,5,1,287372,1024,275
64522,4,8,287488,128,2212
64522,6,2,287384,512,549
64522,7,4,287397,256,1097
64522,8,8,287411,128,2193
64522,9,16,287361,64,4384
64522,10,32,287373,32,8767
64522,11,32,287382,32,8767
64522,12,32,287390,32,8767
64522,13,32,287364,32,8766
64522,14,32,287369,32,8766
64522,15,32,287377,32,4333
64522,16,32,287380,32,4333
64522,17,8,287383,128,1084
64522,18,2,287514,512,272
64522,19,8,287389,128,1084
64522,20,8,287392,128,1084
67369,1,8,1792,128,14
67369,2,8,4224,128,19
67369,5,1,298636,1024,286
67369,4,8,297856,128,2293
67369,6,2,298136,512,570
67369,7,4,297893,256,1138
67369,8,8,297779,128,2274
67369,9,16,297729,64,4546
67369,10,32,297741,32,9091
67369,11,32,297750,32,9091
67369,12,32,297758,32,9091
